"","DateTime","count","DepDelay"
"514","2006-1-28-11",1145,3.96244541484716
"515","2006-1-28-12",1073,2.39049394221808
"516","2006-1-28-13",1070,2.89626168224299
"517","2006-1-28-14",1083,3.77839335180055
"518","2006-1-28-15",1004,3.5
"519","2006-1-28-16",978,2.58179959100204
"520","2006-1-28-17",1022,2.71624266144814
"521","2006-1-28-18",914,3.27133479212254
"522","2006-1-28-19",674,4.17804154302671
"523","2006-1-28-2",3,48.3333333333333
"524","2006-1-28-20",497,5.91348088531187
"525","2006-1-28-21",368,4.04347826086957
"526","2006-1-28-22",176,4.61363636363636
"527","2006-1-28-23",91,10.7362637362637
"528","2006-1-28-3",2,52
"529","2006-1-28-4",6,-6
"530","2006-1-28-5",288,-4.79166666666667
"531","2006-1-28-6",1050,-3.09714285714286
"532","2006-1-28-7",1012,0.396245059288538
"533","2006-1-28-8",1182,0.647208121827411
"534","2006-1-28-9",1039,2.31183830606352
"535","2006-1-28-NA",152,NA
"536","2006-1-29-",44,13.5454545454545
"537","2006-1-29-1",12,39.9166666666667
"538","2006-1-29-10",1162,2.49053356282272
"539","2006-1-29-11",1147,4.64254577157803
"540","2006-1-29-12",1227,5.4841075794621
"541","2006-1-29-13",1131,7.26171529619806
"542","2006-1-29-14",1209,6.43258891645988
"543","2006-1-29-15",1167,8.65552699228792
"544","2006-1-29-16",1137,8.16007036059806
"545","2006-1-29-17",1287,12.4599844599845
"546","2006-1-29-18",1168,13.0462328767123
"547","2006-1-29-19",1086,18.4364640883978
"548","2006-1-29-2",3,-5.33333333333333
"549","2006-1-29-20",874,19.6315789473684
"550","2006-1-29-21",706,20.7464589235127
"551","2006-1-29-22",302,23.3576158940397
"552","2006-1-29-23",124,34.491935483871
"553","2006-1-29-24",5,56
"554","2006-1-29-4",4,-2.75
"555","2006-1-29-5",237,-5.24050632911392
"556","2006-1-29-6",904,-3.4712389380531
"557","2006-1-29-7",987,-1.48530901722391
"558","2006-1-29-8",1123,-0.886910062333036
"559","2006-1-29-9",1071,1.23622782446312
"560","2006-1-29-NA",224,NA
"561","2006-1-3-",115,89.6260869565217
"562","2006-1-3-1",36,78.0833333333333
"563","2006-1-3-10",1185,17.0320675105485
"564","2006-1-3-11",1221,17.7518427518428
"565","2006-1-3-12",1180,20.0652542372881
"566","2006-1-3-13",1127,22.5652173913043
"567","2006-1-3-14",1154,25.3908145580589
"568","2006-1-3-15",1138,29.4710017574692
"569","2006-1-3-16",1147,31.4934612031386
"570","2006-1-3-17",1187,32.9637742207245
"571","2006-1-3-18",1165,39.6712446351931
"572","2006-1-3-19",1110,41.6864864864865
"573","2006-1-3-2",16,79.1875
"574","2006-1-3-20",918,50.6699346405229
"575","2006-1-3-21",782,55.1662404092072
"576","2006-1-3-22",492,69.7743902439024
"577","2006-1-3-23",226,83.1283185840708
"578","2006-1-3-24",8,46.5
"579","2006-1-3-3",1,37
